id,first_name,last_name,web_name,position,team,expected_goals,expected_assists,news
146.0,Bart,Verbruggen,Verbruggen,1.0,5.0,0.0,0.0,
147.0,Adam,Webster,Webster,2.0,5.0,0.0,0.02,
148.0,Danny,Welbeck,Welbeck,4.0,5.0,1.59,0.2,
149.0,Mats,Wieffer,Wieffer,3.0,5.0,0.0,0.02,Muscle injury - 75% chance of playing
595.0,Brajan,Gruda,Gruda,3.0,5.0,0.0,0.0,Knock - 50% chance of playing
600.0,Yasin,Ayari,Ayari,3.0,5.0,0.52,0.39,
601.0,Andrew,Moran,Moran,3.0,5.0,0.0,0.0,Loaned to Stoke City
615.0,Carl,Rushworth,Rushworth,1.0,5.0,0.0,0.0,Loaned to Hull City
618.0,Georginio,Rutter,Georginio,3.0,5.0,0.54,0.11,
628.0,Ferdi,Kadioglu,F.Kadıoğlu,2.0,5.0,0.03,0.02,
629.0,Matt,O'Riley,O'Riley,3.0,5.0,0.0,0.0,Ankle injury - Unknown return date
150.0,Andrey,Nascimento dos Santos,Andrey Santos,3.0,6.0,0.0,0.0,Has joined Strasbourg on a season-long loan
151.0,Ângelo Gabriel,Borges Damaceno,Ângelo,3.0,6.0,0.0,0.0,Transferred to Al-Nassr
153.0,Benoît,Badiashile,B.Badiashile,2.0,6.0,0.0,0.0,
154.0,Lucas,Bergström,Bergström,1.0,6.0,0.0,0.0,
155.0,Marcus,Bettinelli,Bettinelli,1.0,6.0,0.0,0.0,
